"id","nome","regiao","uf"
"f0a8295b-8e31-4ce7-93bb-8459e76a8d3f","MAZAGÃO","NORTE","AP"
"1bbb396f-ff8a-4b99-8733-e794b3328157","JAGUARIBARA","NORDESTE","CE"
"f219202c-e7f0-4728-b3a9-d2c4468fcaa2","CAMPO LIMPO DE GOIÁS","CENTRO_OESTE","GO"
"4da1afbd-a442-4d25-82ee-fa23bc080fe5","PLANALTO","NORDESTE","BA"
"08db779d-583d-41e0-a020-a95ef1908106","SÃO JOÃO DO SABUGI","NORDESTE","RN"
"1b5d1857-5a96-468d-ab8a-0d58c25648ae","AMAJARI","NORTE","RR"
"cdcb1f81-8756-4772-97c4-0bdf5a695967","BATURITÉ","NORDESTE","CE"
"d711a6a2-2c81-49a1-91be-0fb4e933ea51","POMBAL","NORDESTE","PB"
"106cbfd9-21b0-43a5-8567-50d51bf764be","TAPIRAMUTÁ","NORDESTE","BA"
"59caf452-8a4f-4b4d-b0e8-ecdb2e463f77","ALVORADA","NORTE","TO"
"f350b165-0d5c-44ab-9f2e-29d5e0bae83d","MORRINHOS","NORDESTE","CE"
"d5957b4c-507c-40f1-ad6c-d76fac226e53","ISAÍAS COELHO","NORDESTE","PI"
"315364a4-b5cc-4bc3-a8cd-f4bf52c4a701","ANAMÃ","NORTE","AM"
"95f93eff-8808-49bf-92c3-1f7cfce8e904","FELIPE GUERRA","NORDESTE","RN"
"130dadd0-8ef7-4541-b7dc-79c39b4bdf51","CONCEIÇÃO DO TOCANTINS","NORTE","TO"
"79c6026d-ba7e-46ed-9a53-a9a2e58b1c7b","CABACEIRAS","NORDESTE","PB"
"ddb811a7-96e1-4959-85a5-dd9f2659e4a7","PARACURU","NORDESTE","CE"
"6ffa5822-f9fe-47b2-9ecc-8d0209dcd515","NOVA RUSSAS","NORDESTE","CE"
"0dda8d81-2e43-4d73-a27c-2c5a7d38f497","VENHA-VER","NORDESTE","RN"
